tiempo,prediccion,fase_aplicada,Bolivar_llegada_Cordero_cola,Bolivar_llegada_Cordero_espera,LuisCordero_entre_Bolivar_Sucre_cola,LuisCordero_entre_Bolivar_Sucre_espera
318.0,0,0,12,36.25,0,0.0
319.0,0,0,12,37.25,0,0.0
320.0,0,0,12,38.25,0,0.0
321.0,0,0,12,34.416666666666664,0,0.0
322.0,0,0,10,30.833333333333332,1,0.3333333333333333
323.0,0,0,9,27.166666666666668,1,0.5
324.0,0,0,9,23.5,1,0.6
325.0,0,0,7,19.75,1,1.0
326.0,0,0,6,17.363636363636363,2,1.5
327.0,1,0,5,13.272727272727273,2,1.6
328.0,0,0,5,10.1,3,2.75
329.0,0,0,5,7.7,3,3.5
330.0,0,0,4,5.4,3,4.25
331.0,1,0,3,3.3333333333333335,4,5.25
332.0,1,0,2,1.0,4,6.25
333.0,1,0,1,0.625,4,7.25
334.0,1,0,0,0.0,4,6.6
335.0,1,1,0,0.0,4,7.4
336.0,1,1,0,0.0,4,6.833333333333333
337.0,1,1,1,0.0,4,7.5
338.0,1,1,0,0.0,4,7.0
339.0,1,1,0,0.0,4,8.833333333333334
340.0,1,1,0,0.0,4,8.142857142857142
341.0,1,1,0,0.0,4,10.166666666666666
342.0,1,1,0,0.0,5,11.0
343.0,1,1,0,0.0,5,11.833333333333334
344.0,1,1,0,0.0,6,11.0
345.0,1,1,0,0.0,6,11.857142857142858
346.0,1,1,0,0.0,6,12.714285714285714
347.0,1,1,0,0.0,6,11.875
348.0,1,1,0,0.0,6,12.625
349.0,1,1,0,0.0,6,13.375
350.0,1,1,0,0.0,6,12.555555555555555
351.0,1,1,0,0.0,7,15.0
352.0,1,1,0,0.0,7,15.875
353.0,1,1,0,0.0,8,16.875
354.0,1,1,0,0.0,8,17.875
355.0,1,1,0,0.0,8,18.875
356.0,1,1,0,0.0,8,17.666666666666668
357.0,1,1,0,0.0,8,18.555555555555557
358.0,1,1,0,0.0,8,19.444444444444443
359.0,1,1,0,0.0,8,18.3
360.0,1,1,0,0.0,8,19.1
361.0,1,1,1,0.0,8,19.9
362.0,1,1,0,0.0,8,20.7
363.0,1,1,1,0.0,9,19.636363636363637
364.0,1,1,0,0.0,10,20.545454545454547
365.0,1,1,0,0.0,10,21.454545454545453
366.0,1,1,1,0.0,10,20.5
367.0,1,1,0,0.0,10,21.333333333333332
368.0,1,1,1,0.0,11,22.25
369.0,1,1,0,0.0,12,23.25
370.0,1,1,0,0.0,12,24.25
371.0,1,1,1,0.0,12,25.25
372.0,1,1,0,0.0,12,26.25
373.0,1,1,0,0.0,12,27.25
374.0,1,1,1,0.0,12,28.25
375.0,1,1,0,0.0,12,29.25
376.0,1,1,1,0.0,12,30.25
377.0,1,1,0,0.0,12,31.25
378.0,1,1,0,0.0,12,32.25
379.0,1,1,0,0.0,12,33.25
380.0,1,1,0,0.0,12,31.615384615384617
381.0,1,1,0,0.0,12,35.25
382.0,1,1,0,0.0,12,36.25
383.0,1,1,0,0.0,12,37.25
384.0,1,1,0,0.0,12,38.25
385.0,1,1,1,0.0,12,39.25
386.0,1,1,0,0.0,12,40.25
387.0,1,1,0,0.0,12,41.25
388.0,1,1,0,0.0,10,37.7
389.0,1,1,0,0.0,8,26.6
390.0,1,1,1,0.2,6,20.555555555555557
391.0,1,1,1,0.4,4,13.0
392.0,1,1,2,0.8,3,9.75
393.0,1,1,3,1.4,2,6.375
394.0,0,1,4,2.2,1,3.7142857142857144
395.0,1,1,4,3.0,0,0.0
396.0,0,1,4,3.8,0,0.0
397.0,1,1,4,4.6,0,0.0
398.0,0,1,5,5.6,0,0.0
399.0,0,1,5,6.6,0,0.0
400.0,1,1,5,7.6,0,0.0
401.0,0,1,6,7.166666666666667,0,0.0
402.0,0,1,5,8.0,0,0.0
403.0,0,1,5,8.833333333333334,0,0.0
404.0,0,1,6,8.285714285714286,0,0.0
405.0,1,1,5,9.0,0,0.0
406.0,0,1,5,9.714285714285714,0,0.0
407.0,0,1,5,10.428571428571429,0,0.0
408.0,0,1,5,11.142857142857142,0,0.0
409.0,1,1,5,11.857142857142858,0,0.0
410.0,0,0,5,12.571428571428571,0,0.0
411.0,0,0,5,13.285714285714286,0,0.0
